,nu,tauv,ratio,g,N,gamma,gSteady
232,90.0,30.0,0.5,10.0,1000.0,4.187068340795761,4.292798886258226
233,90.0,30.0,1.0,10.0,1000.0,4.791414549586856,4.922293173470269
234,90.0,30.0,2.0,10.0,1000.0,5.730191541497498,5.564071768387623
235,90.0,30.0,3.0,10.0,1000.0,6.016756271837587,5.802632623290908
236,90.0,45.0,0.2,10.0,1000.0,3.713120042821048,3.711925988592024
237,90.0,45.0,0.5,10.0,1000.0,4.223776213151324,4.146919328230711
238,90.0,45.0,1.0,10.0,1000.0,4.920458761906412,4.978548903585542
239,90.0,45.0,2.0,10.0,1000.0,6.20156578771471,6.422385452235311
240,90.0,45.0,3.0,10.0,1000.0,6.875974329606262,6.874133676647582
241,90.0,60.0,0.2,10.0,1000.0,3.7402661541593205,3.7132147598272702
242,90.0,60.0,0.5,10.0,1000.0,4.425117745740585,4.424048405378063
243,90.0,60.0,1.0,10.0,1000.0,5.6721423807888485,5.446914066775524
244,90.0,60.0,2.0,10.0,1000.0,7.963936016921604,7.963936016921606
245,90.0,60.0,3.0,10.0,1000.0,9.027810388333139,9.15784964002569
246,90.0,90.0,0.2,10.0,1000.0,4.613648827091533,4.624517590174435
247,90.0,90.0,0.5,10.0,1000.0,5.879019718749003,5.87255948880172
248,90.0,90.0,1.0,10.0,1000.0,9.740393367463698,9.558183483288856
249,90.0,90.0,2.0,10.0,1000.0,13.15622544235909,13.428262635087686
250,90.0,90.0,3.0,10.0,1000.0,13.340374980767244,13.453590010490556
251,100.0,15.0,0.2,10.0,1000.0,4.1752743851796135,4.175820611948007
252,100.0,15.0,0.5,10.0,1000.0,4.457416149449448,4.441669878268102
253,100.0,15.0,1.0,10.0,1000.0,4.699456602910785,4.828305428388681
254,100.0,15.0,2.0,10.0,1000.0,5.508204536010799,5.638695034498479
255,100.0,15.0,3.0,10.0,1000.0,6.827210000017837,6.416976243388792
256,100.0,30.0,0.2,10.0,1000.0,3.648950731387278,3.6605933040896956
257,100.0,30.0,0.5,10.0,1000.0,4.090929450816618,4.08713788491167
258,100.0,30.0,1.0,10.0,1000.0,4.706836435596248,4.760212094782053
259,100.0,30.0,2.0,10.0,1000.0,5.873022208406869,5.631412155202693
260,100.0,30.0,3.0,10.0,1000.0,6.004078933121224,5.630637463596363
261,100.0,45.0,0.2,10.0,1000.0,3.3477764363347555,3.325154498471976
262,100.0,45.0,0.5,10.0,1000.0,3.9493745231473363,3.9894598139103596
263,100.0,45.0,1.0,10.0,1000.0,4.590655267924028,4.601538757161456
264,100.0,45.0,2.0,10.0,1000.0,5.858174111640241,6.070857324453759
265,100.0,45.0,3.0,10.0,1000.0,6.491280072026956,6.490401808639124
266,100.0,60.0,0.2,10.0,1000.0,3.408367301527217,3.4384439618319096
267,100.0,60.0,0.5,10.0,1000.0,4.089608565021881,4.087641110750334
268,100.0,60.0,1.0,10.0,1000.0,5.0919905364332,5.037104036160407
269,100.0,60.0,2.0,10.0,1000.0,7.359508823589183,7.342521482929146
270,100.0,60.0,3.0,10.0,1000.0,8.173389035638655,8.2075439587603
271,100.0,90.0,0.2,10.0,1000.0,4.309585385255772,4.3031235449262315
272,100.0,90.0,0.5,10.0,1000.0,5.483269209565057,5.478724296600128
273,100.0,90.0,1.0,10.0,1000.0,9.343011531743263,9.343334799691675
274,100.0,90.0,2.0,10.0,1000.0,12.46915352460313,12.46915352460313
275,100.0,90.0,3.0,10.0,1000.0,12.957214775189154,12.955125727748518
276,110.0,15.0,0.2,10.0,1000.0,4.0438336820365555,4.0429996483094275
277,110.0,15.0,0.5,10.0,1000.0,4.309387578186441,4.235675392819789
278,110.0,15.0,1.0,10.0,1000.0,4.769495199162923,4.711698831234594
279,110.0,15.0,2.0,10.0,1000.0,5.2385111196853025,5.161367777548309
280,110.0,15.0,3.0,10.0,1000.0,5.635245544503524,5.636044559397956
281,110.0,30.0,0.2,10.0,1000.0,3.36636634471054,3.3618394996760395
282,110.0,30.0,0.5,10.0,1000.0,3.945472371454922,3.872966858081175
283,110.0,30.0,1.0,10.0,1000.0,4.3932684804362045,4.385856891571116
284,110.0,30.0,2.0,10.0,1000.0,5.107602401201647,5.3161039586066465
285,110.0,30.0,3.0,10.0,1000.0,6.279212741995938,5.59944578811327
286,110.0,45.0,0.2,10.0,1000.0,3.144056099201133,3.137607253632476
287,110.0,45.0,0.5,10.0,1000.0,3.652635760731826,3.6941741608432945
288,110.0,45.0,1.0,10.0,1000.0,4.415995814559808,4.411283994316922
289,110.0,45.0,2.0,10.0,1000.0,5.338953360636305,5.547007054910632
290,110.0,45.0,3.0,10.0,1000.0,6.1143538144174014,6.019768217249466
291,110.0,60.0,0.2,10.0,1000.0,3.1437514763143626,3.124875445830645
292,110.0,60.0,0.5,10.0,1000.0,3.793765519559144,3.7925286784974537
293,110.0,60.0,1.0,10.0,1000.0,4.6013996825017225,4.592373820396665
294,110.0,60.0,2.0,10.0,1000.0,6.807644321004751,6.614664018767594
295,110.0,60.0,3.0,10.0,1000.0,7.2948654733316145,7.718878973072971
296,110.0,90.0,0.2,10.0,1000.0,4.10557508622993,4.104100176215301
297,110.0,90.0,0.5,10.0,1000.0,5.1080189596182395,5.107846583556597
298,110.0,90.0,1.0,10.0,1000.0,8.462820339484658,8.260342556546316
299,110.0,90.0,2.0,10.0,1000.0,11.96336969146179,11.96536951627845
300,110.0,90.0,3.0,10.0,1000.0,12.352363576585766,12.352363576585763
301,120.0,15.0,0.2,10.0,1000.0,3.730570349763283,3.7472959986520187
302,120.0,15.0,0.5,10.0,1000.0,4.246418373878016,4.188975312646934
303,120.0,15.0,1.0,10.0,1000.0,4.48394975701539,4.527962821304159
304,120.0,15.0,2.0,10.0,1000.0,5.379319965631905,5.484282661285497
305,120.0,15.0,3.0,10.0,1000.0,5.8699089578497885,5.5921576541308635
306,120.0,30.0,0.2,10.0,1000.0,3.1943035163811455,3.199904335117873
307,120.0,30.0,0.5,10.0,1000.0,3.7190886966024794,3.7319523207081704
308,120.0,30.0,1.0,10.0,1000.0,4.4528153897309934,4.37003531872919
309,120.0,30.0,2.0,10.0,1000.0,4.964906243099422,5.11406386918847
310,120.0,30.0,3.0,10.0,1000.0,5.736466447165095,5.3323009180690395
311,120.0,45.0,0.2,10.0,1000.0,2.881236594892009,2.8848855791342407
312,120.0,45.0,0.5,10.0,1000.0,3.4566359498713157,3.478144445703681
313,120.0,45.0,1.0,10.0,1000.0,4.203594772367118,4.198261758803703
314,120.0,45.0,2.0,10.0,1000.0,4.982473837998061,5.2984222453189975
315,120.0,45.0,3.0,10.0,1000.0,5.785233103895512,5.7166864430288165
316,120.0,60.0,0.2,10.0,1000.0,2.8754392187611986,2.856397814586094
317,120.0,60.0,0.5,10.0,1000.0,3.5145778293341285,3.56821883157702
318,120.0,60.0,1.0,10.0,1000.0,4.4537564859526135,4.452174494826359
